id,code,type
1,us-al,1
2,us-az,1
3,us-ar,1
4,us-ca,1
5,us-co,1
6,us-ct,1
7,us-de,1
8,us-fl,1
9,us-ga,1
10,us-id,1
11,us-il,1
12,us-in,1
13,us-ia,1
14,us-ks,1
15,us-ky,1
16,us-la,1
17,us-me,1
18,us-md,1
19,us-ma,1
20,us-mi,1
21,us-mn,1
22,us-ms,1
23,us-mo,1
24,us-mt,1
25,us-ne,1
26,us-nv,1
27,us-nh,1
28,us-nj,1
29,us-nm,1
30,us-ny,1
31,us-nc,1
32,us-nd,1
33,us-oh,1
34,us-ok,1
35,us-or,1
36,us-pa,1
37,us-ri,1
38,us-sc,1
39,us-sd,1
40,us-tn,1
41,us-tx,1
42,us-ut,1
43,us-vt,1
44,us-va,1
45,us-wa,1
46,us-wv,1
47,us-wi,1
48,us-wy,1
51,al,1
54,af,1
56,dz,1
57,ao,1
58,ar,1
59,am,1
60,au,1
61,az,1
62,bs,1
63,bd,1
64,be,1
65,bz,1
66,by,1
67,bj,1
68,bt,1
69,bo,1
70,ba,1
71,bw,1
72,br,1
73,bn,1
74,bg,1
75,bf,1
76,bi,1
77,td,1
78,me,1
79,cz,1
80,cn,1
81,dk,1
82,cd,1
83,do,1
84,dj,1
85,eg,1
86,ec,1
87,er,1
88,ee,1
89,et,1
90,fk,1
91,fj,1
92,ph,1
93,fi,1
94,fr,1
95,tf,1
96,ga,1
97,gm,1
98,gh,1
99,gl,1
100,ge,1
101,gt,1
102,gn,1
103,gw,1
104,gy,1
105,ht,1
106,hn,1
107,cl,1
108,hr,1
109,in,1
110,id,1
111,iq,1
112,ir,1
113,ie,1
114,is,1
115,it,1
116,il,1
117,jm,1
118,jp,1
119,ye,1
120,za,1
121,kr,1
122,ss,1
123,jo,1
124,kh,1
125,cm,1
126,ca,1
127,qa,1
128,kz,1
129,ke,1
130,co,1
131,cg,1
132,cr,1
133,cu,1
134,kw,1
135,cy,1
136,kg,1
137,la,1
138,ls,1
139,lb,1
140,lr,1
141,ly,1
142,lt,1
143,lv,1
144,lu,1
145,mg,1
146,hu,1
147,mk,1
148,my,1
149,mw,1
150,ml,1
151,ma,1
152,mr,1
153,mx,1
154,md,1
155,mn,1
156,mz,1
157,mm,1
158,na,1
159,de,1
160,np,1
161,ne,1
162,ng,1
163,ni,1
164,nl,1
165,no,1
166,nc,1
167,nz,1
168,om,1
169,pk,1
170,ps,1
171,pa,1
172,pg,1
173,py,1
174,pe,1
175,ci,1
176,pl,1
177,pr,1
178,pt,1
179,at,1
180,gq,1
181,ro,1
182,ru,1
183,rw,1
184,gr,1
185,sv,1
186,sa,1
187,sn,1
188,kp,1
189,sl,1
190,sk,1
191,si,1
192,so,1
193,ae,1
194,gb,1
195,us,1
196,rs,1
197,cf,1
198,sd,1
199,sr,1
200,sz,1
201,sy,1
202,sb,1
203,es,1
204,lk,1
205,se,1
206,ch,1
207,tj,1
208,tz,1
209,th,1
210,tw,1
211,tg,1
212,tn,1
213,tr,1
214,tm,1
215,ug,1
216,ua,1
217,uy,1
218,uz,1
219,ve,1
220,vn,1
221,tl,1
222,zm,1
223,eh,1
224,zw,1
225,world,3
227,africa,4
228,samerica,4
229,namerica,4
230,europe,4
231,asia,4
232,oceania,4
234,xk,1
235,xs,1
236,cz-us,7
237,cz-pl,7
238,cz-jm,7
239,cz-zl,7
240,cz-ol,7
241,cz-pa,7
242,cz-ka,7
243,cz-jc,7
244,cz-vy,7
245,cz-pr,7
246,cz-st,7
247,cz-li,7
248,cz-kr,7
249,cz-mo,7
250,de-nw,8
251,de-bw,8
252,de-he,8
253,de-hb,8
254,de-ni,8
255,de-th,8
256,de-hh,8
257,de-sh,8
258,de-rp,8
259,de-sl,8
260,de-by,8
261,de-be,8
262,de-st,8
263,de-sn,8
264,de-bb,8
265,de-mv,8
266,at-vo,8
267,at-bu,8
268,at-st,8
269,at-ka,8
270,at-oo,8
271,at-sz,8
272,at-tr,8
273,at-no,8
274,at-wi,8
275,in-ch,1
276,in-dl,1
277,in-hp,1
278,in-hr,1
279,in-jk,1
280,in-ap,1
281,in-kl,1
282,in-ld,1
283,in-or,1
284,in-dn,1
285,in-ka,1
286,in-mh,1
287,in-an,1
288,in-as,1
289,in-mn,1
290,in-nl,1
291,in-ml,1
292,in-pb,1
293,in-rj,1
294,in-up,1
295,in-ut,1
296,in-jh,1
297,in-wb,1
298,in-br,1
299,in-sk,1
300,in-ct,1
301,in-mp,1
302,in-py,1
303,in-tn,1
304,in-gj,1
305,in-ga,1
306,in-ar,1
307,in-mz,1
308,in-tr,1
309,Daman and Diu,1
310,cn-62,9
311,cn-63,9
312,cn-45,9
313,cn-52,9
314,cn-50,9
315,cn-11,9
316,cn-35,9
317,cn-34,9
318,cn-44,9
319,cn-54,9
320,cn-65,9
321,cn-46,9
322,cn-64,9
323,cn-61,9
324,cn-14,9
325,cn-42,9
326,cn-43,9
327,cn-51,9
328,cn-53,9
329,cn-13,9
330,cn-41,9
331,cn-21,9
332,cn-37,9
333,cn-12,9
334,cn-36,9
335,cn-32,9
336,cn-31,9
337,cn-33,9
338,cn-22,9
339,cn-15,9
340,cn-23,9
341,San_Marino,2
342,Vaduz,2
343,Luxembourg,2
344,Monaco,2
345,Andorra,2
346,Ljubljana,2
347,Bratislava,2
348,Podgorica,2
349,Bern,2
350,Pristina,2
351,Skopje,2
352,Reykjavik,2
353,Chisinau,2
354,Vilnius,2
355,Riga,2
356,Zagreb,2
357,Tallinn,2
358,Belgrade,2
359,Tirana,2
360,Sofia,2
361,Minsk,2
362,Sarajevo,2
363,Budapest,2
364,Bucharest,2
365,Lisbon,2
366,Oslo,2
367,Warsaw,2
368,Dublin,2
369,Prague,2
370,Helsinki,2
371,Kobenhavn,2
372,Brussels,2
373,Kiev,2
374,Madrid,2
375,Geneva,2
376,Stockholm,2
377,Amsterdam,2
378,Berlin,2
379,Athens,2
380,Vienna,2
381,London,2
382,Moscow,2
383,Rome,2
384,Paris,2
385,it-65,10
386,it-75,10
387,it-77,10
388,it-78,10
389,it-72,10
390,it-45,10
391,it-36,10
392,it-62,10
393,it-42,10
394,it-25,10
395,it-57,10
396,it-67,10
397,it-21,10
398,it-88,10
399,it-82,10
400,it-52,10
401,it-32,10
402,it-55,10
403,it-23,10
404,it-34,10
405,fr-a,11
406,fr-b,11
407,fr-c,11
408,fr-p,11
409,fr-d,11
410,fr-e,11
411,fr-f,11
412,fr-g,11
413,fr-h,11
414,fr-i,11
415,fr-q,11
416,fr-j,11
417,fr-k,11
418,fr-l,11
419,fr-m,11
420,fr-n,11
421,fr-o,11
422,fr-r,11
423,fr-s,11
424,fr-t,11
425,fr-u,11
426,fr-v,11
427,es-an,12
428,es-ar,12
429,es-cb,12
430,es-cl,12
431,es-cm,12
432,es-ct,12
433,es-md,12
434,es-na,12
435,es-vc,12
436,es-ex,12
437,es-ga,12
